COL_NAME,ALIAS,OUTPUT_DTYPE,VALUE_NAN_STR,REQ_NAN_STR_FILL,VALUE_NAN_NUM,REQ_NAN_NUM_FILL
INVT_YEAR,Inventory Year or Years,string,,No,,No
TR_CT,Total Number of Trees,int,,No,0,Yes
TR_LV_CT,Total Number of Live Trees,int,,No,0,Yes
TR_D_CT,Total Number of Dead Trees,int,,No,0,Yes
LIVE_BA,BA for Live Trees,int,,No,0,Yes
LIVE_TPA,TPA for Live Trees,float,,No,0,Yes
LIVE_QMDBH,QMDBH For Live Trees,float,,No,0,Yes
LIVE_AMD,Average Diameter for Live Trees,float,,No,0,Yes
LIVE_MAX_DBH,Max DBH for Live Trees,int,,No,0,Yes
INV_PRESENT,Invasive Species Present,string,No,Yes,,No
INV_SP,List of Invasive Species Identified,string,NONE,Yes,,No
OV_CLSR,Overstory Closure,int,,No,0,Yes
OV_HT,Overstory Height,int,,No,0,Yes
UND_COV,Understory Cover,int,,No,0,Yes
UND_HT_MEAN,Understory Height Mean,float,,No,0,Yes
UND_HT_RG,Understory Height Range,string,,No,,No
AGE_SP,Aged Tree Species,string,NONE,Yes,,No
AGE_DIA,Aged Tree Diameter,float,,No,0,Yes
AGE_ORIG,Aged Tree Year of Origin,int,,No,0,Yes
AGE_GRW,Aged Tree Growth,int,,No,0,Yes
AGE_MAST_TYPE,Aged Tree Mast Type,string,None,Yes,,No
AGE_NOTE,Note from Age Plots,string,,No,,No
FIXED_NOTE,Note from Fixed Plots,string,,No,,No
